author,author_model,primary_words,chosen_words,rouge1,rouge2,rougeL,semantic_cosine
LLM-1,gpt-5.6-sol,2642,3310,0.7492238703001035,0.36991028295376127,0.3652983787512935,0.7904902696609497
LLM-2,kimi-k3,2585,3284,0.6411632335122036,0.2652813852813853,0.3167734118054354,0.5757367610931396
LLM-3,qwen3.7-max,956,1582,0.55546875,0.22752150117279124,0.22734375,0.6406559348106384
LLM-4,gemini-3.1-pro-preview,1057,1320,0.5721540414727042,0.22786954680220245,0.25476089716462125,0.6610079407691956
LLM-5,claude-opus-4.8,1157,2169,0.4892043774031351,0.10949985202722698,0.15025140490979,0.6151976585388184
