author,author_model,primary_words,chosen_words,rouge1,rouge2,rougeL,cosine
LLM-1,gpt-5.6-sol,2769,3595,0.7289205373037709,0.3169823538934758,0.30004855154555754,0.7619856568785884
LLM-2,kimi-k3,3111,4462,0.5805954825462013,0.15507060333761233,0.14168377823408623,0.549522145917776
LLM-3,qwen3.7-max,1236,1184,0.726827276439363,0.4511646914589293,0.4883625969783585,0.703282639485755
LLM-4,gemini-3.1-pro-preview,1046,1207,0.5931525122276567,0.2421005785491767,0.2730102267674521,0.5608495645611719
LLM-5,claude-opus-4.8,996,2010,0.5520128824476651,0.2578150177247825,0.31239935587761675,0.5413573521629471
